year,grade,jurisdiction,avg_scale_score
2015,4,National,222.51778238114
2015,4,Washington,225.892889059031
2017,4,National,221.892902768779
2017,4,Washington,223.123408781764
2019,4,National,220.474059149004
2019,4,Washington,219.692800380164
2022,4,National,217.494490502989
2022,4,Washington,216.690692889093
2024,4,National,215.044096718576
2024,4,Washington,215.715249116431
2015,8,National,265.44331446909
2015,8,Washington,267.250880666457
2017,8,National,266.577954235286
2017,8,Washington,271.617022995208
2019,8,National,263.149657191501
2019,8,Washington,266.277038164971
2022,8,National,260.46922366966
2022,8,Washington,261.539145444344
2024,8,National,258.049833763416
2024,8,Washington,259.269118662247
