district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte,locale_code,locale_tier,ela_pct_met_grade4,ela_pct_met_grade8,ela_pct_foundational_grade4,ela_pct_foundational_grade8
Aberdeen School District (WA),1.0,2015-16,0.09,3288.0,195.0,194.9,33.0,Mid-size,47.3,46.4,,
Aberdeen School District (WA),1.0,2016-17,0.09,3408.0,204.0,204.19,33.0,Mid-size,44.7,40.4,,
Aberdeen School District (WA),1.0,2017-18,0.09,3435.0,208.0,207.68,33.0,Mid-size,45.8,37.9,,
Aberdeen School District (WA),1.0,2018-19,0.08,3534.0,210.0,210.36,33.0,Mid-size,40.4,39.2,,
Aberdeen School District (WA),0.0,2019-20,0.0,,,203.55,33.0,Mid-size,,,,
Aberdeen School District (WA),0.0,2020-21,0.0,,,163.9,33.0,Mid-size,37.0,32.2,,
Aberdeen School District (WA),0.0,2021-22,0.0,,,186.56,33.0,Mid-size,33.9,32.2,,
Aberdeen School District (WA),0.0,2022-23,0.0,,,204.0,33.0,Mid-size,32.0,32.2,,
Aberdeen School District (WA),0.0,2023-24,,,,182.37,33.0,Mid-size,32.5,28.8,50.0,60.7
Aberdeen School District (WA),0.0,2024-25,,,,170.8,33.0,Mid-size,30.2,31.7,55.3,57.0
Adna School District (WA),0.0,2015-16,0.0,,,34.5,42.0,Distant Rural,70.2,58.3,,
Adna School District (WA),0.0,2016-17,0.0,,,35.83,42.0,Distant Rural,76.2,75.0,,
Adna School District (WA),0.0,2017-18,0.0,,,36.37,42.0,Distant Rural,66.0,50.9,,
Adna School District (WA),0.0,2018-19,0.0,,,36.35,42.0,Distant Rural,58.8,71.8,,
Adna School District (WA),0.0,2019-20,0.0,,,36.21,42.0,Distant Rural,,,,
Adna School District (WA),0.0,2020-21,0.0,,,36.26,42.0,Distant Rural,52.3,50.0,,
Adna School District (WA),0.0,2021-22,0.0,,,33.67,42.0,Distant Rural,54.5,50.0,,
Adna School District (WA),0.0,2022-23,0.0,,,37.0,42.0,Distant Rural,56.4,31.6,,
Adna School District (WA),0.0,2023-24,,,,32.01,42.0,Distant Rural,56.3,25.0,83.3,61.5
Adna School District (WA),0.0,2024-25,,,,34.16,42.0,Distant Rural,65.8,46.9,86.8,83.7
Almira School District (WA),0.0,2015-16,0.0,,,9.5,43.0,Distant Rural,,57.9,,
Almira School District (WA),0.0,2016-17,0.0,,,11.01,43.0,Distant Rural,,66.7,,
Almira School District (WA),0.0,2017-18,0.0,,,9.84,43.0,Distant Rural,,,,
Almira School District (WA),0.0,2018-19,0.0,,,10.98,43.0,Distant Rural,,72.2,,
Almira School District (WA),0.0,2019-20,0.0,,,10.99,43.0,Distant Rural,,,,
Almira School District (WA),0.0,2020-21,0.0,,,11.0,43.0,Distant Rural,,,,
