district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte
Aberdeen School District (WA),1.0,2015-16,0.09,3288.0,195.0,194.9
Aberdeen School District (WA),1.0,2016-17,0.09,3408.0,204.0,204.19
Aberdeen School District (WA),1.0,2017-18,0.09,3435.0,208.0,207.68
Aberdeen School District (WA),1.0,2018-19,0.08,3534.0,210.0,210.36
Aberdeen School District (WA),0.0,2019-20,0.0,,,203.55
Aberdeen School District (WA),0.0,2020-21,0.0,,,163.9
Aberdeen School District (WA),0.0,2021-22,0.0,,,186.56
Aberdeen School District (WA),0.0,2022-23,0.0,,,204.0
Aberdeen School District (WA),0.0,2023-24,,,,182.37
Aberdeen School District (WA),0.0,2024-25,,,,170.8
Adna School District (WA),0.0,2015-16,0.0,,,34.5
Adna School District (WA),0.0,2016-17,0.0,,,35.83
Adna School District (WA),0.0,2017-18,0.0,,,36.37
Adna School District (WA),0.0,2018-19,0.0,,,36.35
Adna School District (WA),0.0,2019-20,0.0,,,36.21
Adna School District (WA),0.0,2020-21,0.0,,,36.26
Adna School District (WA),0.0,2021-22,0.0,,,33.67
Adna School District (WA),0.0,2022-23,0.0,,,37.0
Adna School District (WA),0.0,2023-24,,,,32.01
Adna School District (WA),0.0,2024-25,,,,34.16
Almira School District (WA),0.0,2015-16,0.0,,,9.5
Almira School District (WA),0.0,2016-17,0.0,,,11.01
Almira School District (WA),0.0,2017-18,0.0,,,9.84
Almira School District (WA),0.0,2018-19,0.0,,,10.98
Almira School District (WA),0.0,2019-20,0.0,,,10.99
Almira School District (WA),0.0,2020-21,0.0,,,11.0
Almira School District (WA),0.0,2021-22,0.0,,,10.7
Almira School District (WA),0.0,2022-23,0.0,,,11.0
Almira School District (WA),0.0,2023-24,,,,10.68
Almira School District (WA),0.0,2024-25,,,,11.97
Anacortes School District (WA),0.0,2015-16,0.0,,,134.25
Anacortes School District (WA),0.0,2016-17,0.0,,,145.61
Anacortes School District (WA),0.0,2017-18,0.0,,,151.27
Anacortes School District (WA),0.0,2018-19,0.0,,,151.13
Anacortes School District (WA),1.0,2019-20,0.13,2795.0,147.0,147.03
Anacortes School District (WA),1.0,2020-21,0.13,2586.0,147.0,146.92
Anacortes School District (WA),1.0,2021-22,0.13,2551.0,143.0,142.65
Anacortes School District (WA),1.0,2022-23,0.13,2606.0,144.0,144.0
Anacortes School District (WA),1.0,2023-24,0.13,2621.0,142.0,142.03
Anacortes School District (WA),1.0,2024-25,0.13,2595.0,141.0,140.91
Arlington School District (WA),3.0,2015-16,0.3,1853.0,92.0,276.02
Arlington School District (WA),3.0,2016-17,0.3,1850.0,93.0,280.16
Arlington School District (WA),2.0,2017-18,0.18,2788.0,142.0,283.73
Arlington School District (WA),2.0,2018-19,0.18,2915.0,150.0,300.93
Arlington School District (WA),2.0,2019-20,0.18,2968.0,155.0,309.68
Arlington School District (WA),2.0,2020-21,0.18,2726.0,155.0,309.89
Arlington School District (WA),2.0,2021-22,0.18,2699.0,149.0,297.56
Arlington School District (WA),2.0,2022-23,0.18,2753.0,157.0,313.0
Arlington School District (WA),2.0,2023-24,0.18,2819.0,149.0,297.91
Arlington School District (WA),0.0,2024-25,,,,293.84
Asotin-Anatone School District (WA),0.0,2015-16,0.0,,,37.8
Asotin-Anatone School District (WA),0.0,2016-17,0.0,,,38.02
Asotin-Anatone School District (WA),0.0,2017-18,0.0,,,38.03
Asotin-Anatone School District (WA),0.0,2018-19,0.0,,,39.42
Asotin-Anatone School District (WA),0.0,2019-20,0.0,,,36.61
Asotin-Anatone School District (WA),0.0,2020-21,0.0,,,39.6
Asotin-Anatone School District (WA),0.0,2021-22,0.0,,,39.21
Asotin-Anatone School District (WA),0.0,2022-23,0.0,,,39.0
Asotin-Anatone School District (WA),0.0,2023-24,,,,40.0
Asotin-Anatone School District (WA),0.0,2024-25,,,,38.33
