statistic,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte
Average,3.8,2015-16,0.21,1393,74,195.18
Average,3.78,2016-17,0.21,1486,80,198.31
Average,3.59,2017-18,0.21,1435,79,202.75
Average,3.47,2018-19,0.2,1526,84,208.12
Average,2.85,2019-20,0.16,1793,97,208.1
Average,2.66,2020-21,0.15,2090,114,206.63
Average,2.76,2021-22,0.15,1883,103,200.85
Average,2.88,2022-23,0.14,2253,131,211.86
Average,2.47,2023-24,0.35,2087,116,210.85
Average,5.86,2024-25,0.33,2088,113,205.14
Median,0.0,2015-16,0.0,941,51,53.86
Median,0.0,2016-17,0.0,946,51,54.57
Median,0.0,2017-18,0.0,990,56,54.74
Median,0.0,2018-19,0.0,1140,62,55.15
Median,0.0,2019-20,0.0,1162,66,53.6
Median,0.0,2020-21,0.0,1231,69,52.67
Median,0.0,2021-22,0.0,1202,71,55.5
Median,0.0,2022-23,0.0,1171,72,58.0
Median,0.0,2023-24,0.33,1380,77,56.78
Median,2.07,2024-25,0.31,1451,79,54.62
