district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte,locale_code,locale_tier
Aberdeen School District (WA),1.0,2015-16,0.09,3288.0,195.0,194.9,33.0,Mid-size
Aberdeen School District (WA),1.0,2016-17,0.09,3408.0,204.0,204.19,33.0,Mid-size
Aberdeen School District (WA),1.0,2017-18,0.09,3435.0,208.0,207.68,33.0,Mid-size
Aberdeen School District (WA),1.0,2018-19,0.08,3534.0,210.0,210.36,33.0,Mid-size
Aberdeen School District (WA),0.0,2019-20,0.0,,,203.55,33.0,Mid-size
Aberdeen School District (WA),0.0,2020-21,0.0,,,163.9,33.0,Mid-size
Aberdeen School District (WA),0.0,2021-22,0.0,,,186.56,33.0,Mid-size
Aberdeen School District (WA),0.0,2022-23,0.0,,,204.0,33.0,Mid-size
Aberdeen School District (WA),0.0,2023-24,,,,182.37,33.0,Mid-size
Aberdeen School District (WA),0.0,2024-25,,,,170.8,33.0,Mid-size
Adna School District (WA),0.0,2015-16,0.0,,,34.5,42.0,Distant Rural
Adna School District (WA),0.0,2016-17,0.0,,,35.83,42.0,Distant Rural
Adna School District (WA),0.0,2017-18,0.0,,,36.37,42.0,Distant Rural
Adna School District (WA),0.0,2018-19,0.0,,,36.35,42.0,Distant Rural
Adna School District (WA),0.0,2019-20,0.0,,,36.21,42.0,Distant Rural
Adna School District (WA),0.0,2020-21,0.0,,,36.26,42.0,Distant Rural
Adna School District (WA),0.0,2021-22,0.0,,,33.67,42.0,Distant Rural
Adna School District (WA),0.0,2022-23,0.0,,,37.0,42.0,Distant Rural
Adna School District (WA),0.0,2023-24,,,,32.01,42.0,Distant Rural
Adna School District (WA),0.0,2024-25,,,,34.16,42.0,Distant Rural
Almira School District (WA),0.0,2015-16,0.0,,,9.5,43.0,Distant Rural
Almira School District (WA),0.0,2016-17,0.0,,,11.01,43.0,Distant Rural
Almira School District (WA),0.0,2017-18,0.0,,,9.84,43.0,Distant Rural
Almira School District (WA),0.0,2018-19,0.0,,,10.98,43.0,Distant Rural
Almira School District (WA),0.0,2019-20,0.0,,,10.99,43.0,Distant Rural
Almira School District (WA),0.0,2020-21,0.0,,,11.0,43.0,Distant Rural
Almira School District (WA),0.0,2021-22,0.0,,,10.7,43.0,Distant Rural
Almira School District (WA),0.0,2022-23,0.0,,,11.0,43.0,Distant Rural
Almira School District (WA),0.0,2023-24,,,,10.68,43.0,Distant Rural
Almira School District (WA),0.0,2024-25,,,,11.97,43.0,Distant Rural
Anacortes School District (WA),0.0,2015-16,0.0,,,134.25,31.0,Mid-size
Anacortes School District (WA),0.0,2016-17,0.0,,,145.61,31.0,Mid-size
Anacortes School District (WA),0.0,2017-18,0.0,,,151.27,31.0,Mid-size
Anacortes School District (WA),0.0,2018-19,0.0,,,151.13,31.0,Mid-size
Anacortes School District (WA),1.0,2019-20,0.13,2795.0,147.0,147.03,31.0,Mid-size
Anacortes School District (WA),1.0,2020-21,0.13,2586.0,147.0,146.92,31.0,Mid-size
Anacortes School District (WA),1.0,2021-22,0.13,2551.0,143.0,142.65,31.0,Mid-size
Anacortes School District (WA),1.0,2022-23,0.13,2606.0,144.0,144.0,31.0,Mid-size
Anacortes School District (WA),1.0,2023-24,0.13,2621.0,142.0,142.03,31.0,Mid-size
Anacortes School District (WA),1.0,2024-25,0.13,2595.0,141.0,140.91,31.0,Mid-size
Arlington School District (WA),3.0,2015-16,0.3,1853.0,92.0,276.02,22.0,Suburban
Arlington School District (WA),3.0,2016-17,0.3,1850.0,93.0,280.16,22.0,Suburban
Arlington School District (WA),2.0,2017-18,0.18,2788.0,142.0,283.73,22.0,Suburban
Arlington School District (WA),2.0,2018-19,0.18,2915.0,150.0,300.93,22.0,Suburban
Arlington School District (WA),2.0,2019-20,0.18,2968.0,155.0,309.68,22.0,Suburban
Arlington School District (WA),2.0,2020-21,0.18,2726.0,155.0,309.89,22.0,Suburban
Arlington School District (WA),2.0,2021-22,0.18,2699.0,149.0,297.56,22.0,Suburban
Arlington School District (WA),2.0,2022-23,0.18,2753.0,157.0,313.0,22.0,Suburban
Arlington School District (WA),2.0,2023-24,0.18,2819.0,149.0,297.91,22.0,Suburban
Arlington School District (WA),0.0,2024-25,,,,293.84,22.0,Suburban
Asotin-Anatone School District (WA),0.0,2015-16,0.0,,,37.8,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2016-17,0.0,,,38.02,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2017-18,0.0,,,38.03,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2018-19,0.0,,,39.42,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2019-20,0.0,,,36.61,23.0,Suburban
Asotin-Anatone School District (WA),0.0,2020-21,0.0,,,39.6,23.0,Suburban
